k,c_pinn,c_fem_interp
5.000000000000000000e-01,5.201510429382324219e+00,6.921030042918455472e+00
5.555555555555555802e-01,5.201522350311279297e+00,6.190557939914163477e+00
6.111111111111111605e-01,5.201557159423828125e+00,5.598283261802575517e+00
6.666666666666666297e-01,5.201508998870849609e+00,5.094849785407726372e+00
7.222222222222222099e-01,5.201518535614013672e+00,4.680257510729613379e+00
7.777777777777777901e-01,5.201514244079589844e+00,4.315021459227467382e+00
8.333333333333332593e-01,5.201523303985595703e+00,3.999141630901288380e+00
8.888888888888888395e-01,5.201486110687255859e+00,3.722746781115880310e+00
9.444444444444444198e-01,5.201434612274169922e+00,3.475965665236051994e+00
1.000000000000000000e+00,5.189348220825195312e+00,3.248927038626609587e+00
