k,c_pinn,c_fem_interp
5.000000000000000000e-01,4.999360084533691406e+00,6.921030042918455472e+00
5.555555820465087891e-01,4.999122619628906250e+00,6.190557629253731875e+00
6.111111044883728027e-01,4.998954296112060547e+00,5.598283326523499248e+00
6.666666865348815918e-01,4.998838424682617188e+00,5.094849630077510128e+00
7.222222089767456055e-01,4.998616218566894531e+00,4.680257588394721502e+00
7.777777910232543945e-01,4.998463153839111328e+00,4.315021381562359259e+00
8.333333134651184082e-01,4.998286247253417969e+00,3.999141708566396058e+00
8.888888955116271973e-01,4.998003005981445312e+00,3.722746742283326249e+00
9.444444179534912109e-01,4.997807979583740234e+00,3.475965768789529342e+00
1.000000000000000000e+00,4.997573375701904297e+00,3.248927038626609587e+00
